iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.63925,0.7264,0.5274,0.5977776078043604,0.875,0.125,2193.3069594999542
1,8,0.0,0.672075,0.7048,0.6292,0.429529816362108,1.0,0.0,1101.2539274999872
2,8,0.0,0.7449250000000001,0.769,0.7192,0.3515373846217222,0.875,0.125,8187.620073499973
3,8,0.0,0.728075,0.7638,0.6822,0.41753831380162704,1.0,0.0,3272.143789599999
4,8,0.0,0.665675,0.7566,0.5996,0.42228972996335545,1.0,0.0,2248.7211034999928
5,8,0.0,0.7532000000000001,0.7752,0.7248,0.31149209109752674,0.875,0.125,4707.6213930000085
6,8,0.0,0.751125,0.7848,0.7088,0.269009445523769,0.875,0.125,5387.15975979995
7,8,0.0,0.751825,0.7838,0.6818,0.2168805132770029,1.0,0.0,5031.299092300003
8,8,0.0,0.71835,0.795,0.6722,0.21058686280985134,0.875,0.125,2707.1190146999434
9,8,0.0,0.762275,0.7734,0.7518,0.15922874562897063,1.0,0.0,4687.514499100042
10,8,0.0,0.7658500000000001,0.7858,0.7432,0.1191894343192686,1.0,0.0,5169.646789899911
11,8,0.0,0.7739,0.7918,0.7528,0.12229716651570952,1.0,0.0,5665.065517700044
12,8,0.0,0.777625,0.7904,0.7546,0.101985166087219,1.0,0.0,5697.401220200001
13,8,0.0,0.782625,0.7968,0.7734,0.04409705585155496,0.875,0.125,6176.287693499937
14,8,0.0,0.77835,0.7956,0.7532,0.026535921928404725,1.0,0.0,6131.160386999953
15,3,0.625,0.7733000000000001,0.7792,0.768,0.003479690664011304,1.0,0.0,2297.5680721000535
