algorithm,run,seed,best_validation_accuracy,best_test_accuracy,precision,recall,f1,runtime_seconds,hp_base_filters,hp_batch_size,hp_dilation,hp_dropout,hp_final_neurons,hp_learning_rate,hp_se_ratio,hp_shared_conv_kernel_size
GWO,run_01,42,0.8046,0.8793,0.8791721991645319,0.8793,0.8788050887124388,116458.61865039996,256,32,1,0.17002009789608422,256,0.0012351628680148583,8,5
PSO,run_03,44,0.8094,0.8707,0.8711544828492664,0.8706999999999999,0.8707725742288378,112281.93122379998,256,32,1,0.1,512,0.0030504420837331784,16,3
WOA,run_03,44,0.8154,0.8768,0.8765493488153309,0.8768,0.8765923414870995,142624.49068240006,256,32,1,0.10077856418522159,128,0.0014188144847256917,4,5
RAO,run_03,44,0.789,0.8681,0.8687022081160147,0.8680999999999999,0.8681581043891727,171395.5741358,256,64,1,0.2799584735269006,128,0.0001,8,7
