algorithm,run,iteration,diversity
PSO,run_01,6,0.22108661174134767
PSO,run_01,7,0.13147422431008055
PSO,run_01,8,0.1488845331144268
PSO,run_01,9,0.10710943124649694
PSO,run_01,10,0.10872572597875607
PSO,run_01,11,0.15483184717509152
PSO,run_01,12,0.16326304425553895
PSO,run_01,13,0.13066900768572662
PSO,run_01,14,0.06861645460222865
PSO,run_01,15,0.08889477193059384
PSO,run_02,0,0.5977776078043604
PSO,run_02,1,0.32546423804550506
PSO,run_02,2,0.3506151650316792
PSO,run_02,3,0.25135198893118593
PSO,run_02,4,0.25915848037189687
PSO,run_02,5,0.13701756745134167
PSO,run_02,6,0.140530618453301
PSO,run_02,7,0.09982495538835452
PSO,run_02,8,0.13299229530173892
PSO,run_02,9,0.12889562380087022
PSO,run_02,10,0.10442358990249496
PSO,run_02,11,0.09954112651944186
PSO,run_02,12,0.09616198554711848
PSO,run_02,13,0.08764535980389518
PSO,run_02,14,0.09233552067258823
PSO,run_02,15,0.052615424472820735
PSO,run_03,0,0.49457303249423956
PSO,run_03,1,0.36129244190092136
PSO,run_03,2,0.31824437988617615
PSO,run_03,3,0.21916743242367964
PSO,run_03,4,0.19940177215975433
PSO,run_03,5,0.12798654397399167
PSO,run_03,6,0.07508667678987029
PSO,run_03,7,0.05733396851105749
PSO,run_03,8,0.06368166662899663
PSO,run_03,9,0.07090329144811434
PSO,run_03,10,0.07992686330326612
PSO,run_03,11,0.04822701712196872
PSO,run_03,12,0.0483581649864879
PSO,run_03,13,0.07560199172944475
PSO,run_03,14,0.06552235641147897
PSO,run_03,15,0.06526802481404555
WOA,run_01,0,0.5057282398399663
WOA,run_01,1,0.5768901254903649
WOA,run_01,2,0.495225169055889
WOA,run_01,3,0.5930816594871954
WOA,run_01,4,0.5758542442564263
WOA,run_01,5,0.47780483149589464
WOA,run_01,6,0.32627611093072156
WOA,run_01,7,0.5126770471303972
WOA,run_01,8,0.5287053568061211
WOA,run_01,9,0.3174141767690593
WOA,run_01,10,0.23939157991876409
WOA,run_01,11,0.2721561331924084
WOA,run_01,12,0.26373278617677226
WOA,run_01,13,0.11770541044716869
WOA,run_01,14,0.05049724453733864
WOA,run_01,15,0.020295443224088813
WOA,run_02,0,0.5977776078043604
WOA,run_02,1,0.5904752799461739
WOA,run_02,2,0.7043547165282436
WOA,run_02,3,0.6713344501229855
WOA,run_02,4,0.47218819003655477
WOA,run_02,5,0.4761395461059957
WOA,run_02,6,0.47696485268429967
WOA,run_02,7,0.4993669275223565
WOA,run_02,8,0.3926134148493589
WOA,run_02,9,0.3601140730497036
WOA,run_02,10,0.29123259968547754
WOA,run_02,11,0.1838978626591046
WOA,run_02,12,0.2515402133122397
WOA,run_02,13,0.10408549480404714
WOA,run_02,14,0.07687765822933357
WOA,run_02,15,0.028128596959801862
WOA,run_03,0,0.49457303249423956
WOA,run_03,1,0.41520113981689577
WOA,run_03,2,0.5645718892567451
WOA,run_03,3,0.42476811970287276
WOA,run_03,4,0.4586121018005576
WOA,run_03,5,0.4705861825822707
WOA,run_03,6,0.3332034127830762
WOA,run_03,7,0.33156910862076366
WOA,run_03,8,0.12387156551334619
WOA,run_03,9,0.19086080052763157
WOA,run_03,10,0.27349032297015957
WOA,run_03,11,0.132987827669309
WOA,run_03,12,0.06766430150321467
WOA,run_03,13,0.0671696245666655
WOA,run_03,14,0.04990606540786167
WOA,run_03,15,0.0036929156096890134
RAO,run_01,0,0.5057282398399663
RAO,run_01,1,0.46069301560353026
RAO,run_01,2,0.38289750584732996
RAO,run_01,3,0.2588797502311491
RAO,run_01,4,0.31290385651479524
RAO,run_01,5,0.29155416186567873
RAO,run_01,6,0.25334645502427255
RAO,run_01,7,0.23994425972659372
RAO,run_01,8,0.2890123621242938
RAO,run_01,9,0.2557594161141564
RAO,run_01,10,0.23150413115108406
RAO,run_01,11,0.23118397200841698
RAO,run_01,12,0.18887833467443396
RAO,run_01,13,0.17360286484000678
RAO,run_01,14,0.18063893934546887
RAO,run_01,15,0.16098171497009867
RAO,run_02,0,0.5977776078043604
RAO,run_02,1,0.5536227607191706
RAO,run_02,2,0.516518029735267
RAO,run_02,3,0.350398498633899
RAO,run_02,4,0.33188044955021745
RAO,run_02,5,0.2606875717129403
RAO,run_02,6,0.2928516442190226
RAO,run_02,7,0.26474537840289203
RAO,run_02,8,0.2158862037775423
RAO,run_02,9,0.20272098669347963
RAO,run_02,10,0.16831500191319182
RAO,run_02,11,0.17128076662569464
RAO,run_02,12,0.13354300824780949
RAO,run_02,13,0.13915760844472613
RAO,run_02,14,0.1244125122541916
RAO,run_02,15,0.14195388890763577
RAO,run_03,0,0.49457303249423956
RAO,run_03,1,0.49109928211363707
RAO,run_03,2,0.38998144965190384
RAO,run_03,3,0.4113644209833175
RAO,run_03,4,0.3943204608963502
RAO,run_03,5,0.28942457942530436
RAO,run_03,6,0.23224871038431327
RAO,run_03,7,0.19480396034786016
RAO,run_03,8,0.11020146480079125
RAO,run_03,9,0.1394230484868908
RAO,run_03,10,0.09755808592161817
RAO,run_03,11,0.13482201027720542
RAO,run_03,12,0.1412916480514898
RAO,run_03,13,0.09523333936413768
RAO,run_03,14,0.12003012035452586
RAO,run_03,15,0.04847170744486022
