algorithm_a,algorithm_b,statistic,p_value,significant,n_pairs
GWO,PSO,1.0,0.4226780741706353,False,3
GWO,WOA,1.0,0.4226780741706353,False,3
GWO,RAO,0.0,0.18144920772142026,False,3
PSO,WOA,1.0,0.4226780741706353,False,3
PSO,RAO,0.0,0.18144920772142026,False,3
WOA,RAO,2.0,0.7892680261342813,False,3
