rank,algorithm,mean_test_accuracy,std_test_accuracy,mean_f1,std_f1,mean_runtime,std_runtime
1,GWO,0.8671333333333333,0.012525795605691295,0.8665006341165377,0.012847758907728992,90701.0501099,18224.359877586758
2,PSO,0.8583999999999999,0.008889319434017447,0.8583485859384966,0.008946031099664386,95940.15121626668,11555.399631349865
3,WOA,0.8513333333333334,0.018539567296880353,0.8510795363762261,0.01853719390635326,79951.42585080002,46692.627419090066
4,RAO,0.8478666666666667,0.01564402619390404,0.8474253033925988,0.015925713195704322,98842.227831,54068.0500325363
