hyperparameter,mean,std,min,max
base_filters,234.66666666666666,47.70278351999551,128.0,256.0
batch_size,37.333333333333336,11.925695879998877,32.0,64.0
dilation,1.5833333333333333,0.4930066485916347,1.0,2.0
dropout,0.24134273023010033,0.1555047050000533,0.1,0.6435081283234254
final_neurons,298.6666666666667,159.64404850235482,128.0,512.0
learning_rate,0.0016306943402108374,0.0008731389657619955,0.0001,0.0035083200751888934
se_ratio,6.666666666666667,3.3993463423951895,4.0,16.0
shared_conv_kernel_size,3.6666666666666665,1.247219128924647,3.0,7.0
