iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.67475,0.7338,0.591,0.5057282398399663,0.875,0.125,1484.8403887999593
1,8,0.0,0.705275,0.7402,0.605,0.46069301560353026,0.875,0.125,1672.4686074999627
2,8,0.0,0.712575,0.7522,0.6558,0.38289750584732996,0.875,0.125,1502.2244268999784
3,8,0.0,0.725,0.7522,0.7092,0.2588797502311491,0.875,0.125,2619.5621105000027
4,8,0.0,0.72375,0.7654,0.6972,0.31290385651479524,0.875,0.125,2510.999755900004
5,8,0.0,0.738525,0.7706,0.7182,0.29155416186567873,0.875,0.125,3269.9446045000223
6,8,0.0,0.7504500000000001,0.77,0.7186,0.25334645502427255,1.0,0.0,2407.6126197000267
7,8,0.0,0.7628,0.7742,0.7458,0.23994425972659372,0.875,0.125,3762.8514828000334
8,8,0.0,0.749875,0.7794,0.7294,0.2890123621242938,0.875,0.125,2134.509244499961
9,8,0.0,0.7574000000000001,0.7784,0.7326,0.2557594161141564,1.0,0.0,3771.71159229998
10,8,0.0,0.745125,0.7592,0.7206,0.23150413115108406,1.0,0.0,2917.5445566999842
11,8,0.0,0.7400249999999999,0.7784,0.7116,0.23118397200841698,1.0,0.0,2468.8265571999946
12,8,0.0,0.7509,0.7784,0.7332,0.18887833467443396,1.0,0.0,2180.3036886999616
13,8,0.0,0.746975,0.7698,0.7294,0.17360286484000678,1.0,0.0,2143.4223813000135
14,8,0.0,0.7421,0.7698,0.72,0.18063893934546887,1.0,0.0,2305.1818404999794
15,8,0.0,0.7423,0.7698,0.7156,0.16098171497009867,1.0,0.0,2144.4375345999724
