iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.67475,0.7338,0.591,0.5057282398399663,0.875,0.125,1493.0413067999762
1,8,0.0,0.6396999999999999,0.742,0.5126,0.4838564007470314,0.875,0.125,1469.860609299969
2,8,0.0,0.6662250000000001,0.7622,0.601,0.4795039278711901,0.875,0.125,2849.7772130999947
3,8,0.0,0.664175,0.7506,0.5766,0.4410792984892354,1.0,0.0,2777.2032965999097
4,8,0.0,0.753125,0.793,0.6994,0.3700949923177057,0.875,0.125,8405.557538800058
5,8,0.0,0.717675,0.7856,0.674,0.3469394697753678,1.0,0.0,3635.109519199934
6,8,0.0,0.76475,0.7958,0.7422,0.2113623752484765,0.875,0.125,8038.422407399979
7,8,0.0,0.7655000000000001,0.8046,0.7232,0.21299619432710307,0.875,0.125,7958.595396299963
8,8,0.0,0.763075,0.791,0.74,0.20315596684873374,1.0,0.0,5953.4178201000905
9,8,0.0,0.7764,0.7964,0.7588,0.12559644530690378,1.0,0.0,9836.896446300088
10,8,0.0,0.7575750000000001,0.7952,0.7174,0.11561282728290405,1.0,0.0,9648.446998699917
11,8,0.0,0.771925,0.7876,0.7502,0.12160762143836318,1.0,0.0,6265.563720199978
12,8,0.0,0.781775,0.7958,0.7656,0.0754903057799852,1.0,0.0,10854.25538019999
13,8,0.0,0.7754,0.7918,0.7534,0.06577910439721674,1.0,0.0,10587.516906399978
14,8,0.0,0.7860750000000001,0.7978,0.777,0.029482839308556375,1.0,0.0,10505.16698520002
15,4,0.5,0.78405,0.7948,0.7744,0.004435989198993021,1.0,0.0,5246.832011500024
