iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.6764749999999999,0.7302,0.6332,0.49457303249423956,0.875,0.125,3200.164932399988
1,8,0.0,0.7076499999999999,0.7432,0.6102,0.41520113981689577,0.875,0.125,4460.619126099977
2,8,0.0,0.68245,0.7808,0.6122,0.5645718892567451,0.875,0.125,3759.6179928999627
3,8,0.0,0.727125,0.7904,0.649,0.42476811970287276,0.875,0.125,11128.466738599993
4,8,0.0,0.718275,0.7908,0.5662,0.4586121018005576,0.875,0.125,4549.111849999987
5,8,0.0,0.734,0.7908,0.6326,0.4705861825822707,0.875,0.125,9179.319469400041
6,8,0.0,0.744275,0.7752,0.6662,0.3332034127830762,1.0,0.0,7898.711591900035
7,8,0.0,0.74565,0.7912,0.5662,0.33156910862076366,0.875,0.125,5650.753051599953
8,8,0.0,0.77795,0.8012,0.7612,0.12387156551334619,0.875,0.125,14830.532631499984
9,8,0.0,0.771725,0.796,0.7296,0.19086080052763157,1.0,0.0,10249.732568599982
10,8,0.0,0.7581,0.7976,0.6178,0.27349032297015957,1.0,0.0,10204.442925199983
11,8,0.0,0.7713749999999999,0.806,0.7132,0.132987827669309,0.875,0.125,8594.044810899999
12,8,0.0,0.785575,0.806,0.767,0.06766430150321467,0.875,0.125,11781.733828499971
13,8,0.0,0.7793749999999999,0.7912,0.7686,0.0671696245666655,1.0,0.0,12243.127713599999
14,8,0.0,0.7843,0.8154,0.7654,0.04990606540786167,0.875,0.125,11366.559213600005
15,3,0.625,0.807925,0.8154,0.7794,0.0036929156096890134,0.25,0.75,2618.210351800022
