iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.63925,0.7264,0.5274,0.5977776078043604,0.875,0.125,2188.390537899977
1,8,0.0,0.675825,0.7388,0.6102,0.5536227607191706,0.875,0.125,1575.9730315000052
2,8,0.0,0.7038249999999999,0.7812,0.6074,0.516518029735267,0.875,0.125,2341.7070689999964
3,8,0.0,0.7258,0.7492,0.697,0.350398498633899,1.0,0.0,2420.6952045999933
4,8,0.0,0.72885,0.765,0.696,0.33188044955021745,1.0,0.0,4206.092824599997
5,8,0.0,0.749225,0.7804,0.6918,0.2606875717129403,1.0,0.0,5949.623253900034
6,8,0.0,0.741375,0.7698,0.6918,0.2928516442190226,1.0,0.0,5752.48177220003
7,8,0.0,0.749175,0.7794,0.6994,0.26474537840289203,1.0,0.0,4854.183414700092
8,8,0.0,0.753075,0.7824,0.7116,0.2158862037775423,0.875,0.125,5633.44124830002
9,8,0.0,0.75465,0.7768,0.7262,0.20272098669347963,1.0,0.0,6331.840223200037
10,8,0.0,0.7444500000000001,0.7732,0.6994,0.16831500191319182,1.0,0.0,6212.87700940005
11,8,0.0,0.75515,0.7854,0.713,0.17128076662569464,0.875,0.125,6097.033135999925
12,8,0.0,0.7399,0.791,0.6916,0.13354300824780949,0.875,0.125,6084.570929700043
13,8,0.0,0.733325,0.7772,0.6938,0.13915760844472613,1.0,0.0,6079.411574300029
14,8,0.0,0.7288250000000001,0.743,0.7146,0.1244125122541916,1.0,0.0,6072.4168889999855
15,8,0.0,0.7185250000000001,0.7702,0.6734,0.14195388890763577,1.0,0.0,5320.077600300079
