iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.63925,0.7264,0.5274,0.5977776078043604,0.875,0.125,2269.5748344
1,8,0.0,0.710475,0.7616,0.6728,0.32546423804550506,0.875,0.125,1302.1164848000003
2,8,0.0,0.7181249999999999,0.7596,0.6508,0.3506151650316792,1.0,0.0,2272.4555487000002
3,8,0.0,0.7419,0.771,0.6926,0.25135198893118593,0.875,0.125,3590.9314546999994
4,8,0.0,0.74755,0.7976,0.6978,0.25915848037189687,0.875,0.125,5097.849330700001
5,8,0.0,0.7733749999999999,0.7908,0.7424,0.13701756745134167,1.0,0.0,6187.683067499998
6,8,0.0,0.754675,0.7866,0.716,0.140530618453301,1.0,0.0,6155.9836
7,8,0.0,0.771725,0.7808,0.7336,0.09982495538835452,1.0,0.0,6042.878292500001
8,8,0.0,0.75895,0.7856,0.7186,0.13299229530173892,1.0,0.0,5984.516176500001
9,8,0.0,0.7718499999999999,0.7852,0.7608,0.12889562380087022,1.0,0.0,6049.013094200003
10,8,0.0,0.7777499999999999,0.7854,0.7598,0.10442358990249496,1.0,0.0,6036.6635871000035
11,8,0.0,0.7727249999999999,0.786,0.7428,0.09954112651944186,1.0,0.0,6035.553505200005
12,8,0.0,0.772975,0.7826,0.7592,0.09616198554711848,1.0,0.0,6090.259571199997
13,8,0.0,0.780575,0.7938,0.755,0.08764535980389518,1.0,0.0,6091.5490918
14,8,0.0,0.773775,0.7898,0.7602,0.09233552067258823,1.0,0.0,6088.494594000003
15,8,0.0,0.7766500000000001,0.7902,0.7654,0.052615424472820735,1.0,0.0,6089.508986400004
