iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.63925,0.7264,0.5274,0.5977776078043604,0.875,0.125,2190.0435242000385
1,8,0.0,0.6288750000000001,0.7264,0.5204,0.5904752799461739,0.875,0.125,780.353551600012
2,8,0.0,0.6484749999999999,0.6974,0.617,0.7043547165282436,1.0,0.0,1785.7799673999543
3,8,0.0,0.666225,0.7232,0.6256,0.6713344501229855,1.0,0.0,1938.0157742000301
4,8,0.0,0.6474,0.7566,0.5672,0.47218819003655477,0.875,0.125,1080.4722377000144
5,8,0.0,0.68255,0.7566,0.602,0.4761395461059957,0.875,0.125,2139.216504000011
6,8,0.0,0.678375,0.736,0.5816,0.47696485268429967,1.0,0.0,2778.7097615000093
7,8,0.0,0.657625,0.7386,0.492,0.4993669275223565,1.0,0.0,1897.571274499991
8,8,0.0,0.7003,0.7344,0.6766,0.3926134148493589,1.0,0.0,2237.7144242000068
9,8,0.0,0.697325,0.7444,0.6,0.3601140730497036,1.0,0.0,2614.319823800004
10,8,0.0,0.677025,0.758,0.5682,0.29123259968547754,0.875,0.125,1497.1933910999796
11,8,0.0,0.70415,0.7166,0.672,0.1838978626591046,1.0,0.0,1804.2593891000142
12,8,0.0,0.716175,0.7692,0.6934,0.2515402133122397,0.875,0.125,1962.2139408999938
13,8,0.0,0.738575,0.7692,0.6838,0.10408549480404714,0.875,0.125,1522.7542403000407
14,8,0.0,0.7300249999999999,0.7582,0.7106,0.07687765822933357,1.0,0.0,1413.1185115000117
15,4,0.5,0.756225,0.7692,0.714,0.028128596959801862,0.375,0.625,688.6611549999798
