iteration,unique_solution_count,repeat_rate,average_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,iteration_time
0,8,0.0,0.6764749999999999,0.7302,0.6332,0.49457303249423956,0.875,0.125,3198.6817534
1,8,0.0,0.7175750000000001,0.7796,0.6786,0.36129244190092136,0.875,0.125,5389.390058300007
2,8,0.0,0.749175,0.7884,0.7114,0.31824437988617615,0.875,0.125,11509.486239799997
3,8,0.0,0.771225,0.8014,0.7206,0.21916743242367964,0.875,0.125,11014.377079600003
4,8,0.0,0.794125,0.8052,0.7796,0.19940177215975433,0.875,0.125,7870.506011999998
5,8,0.0,0.786225,0.7966,0.778,0.12798654397399167,1.0,0.0,6417.0000879
6,8,0.0,0.786775,0.8032,0.765,0.07508667678987029,1.0,0.0,5793.753674800013
7,8,0.0,0.785675,0.801,0.7702,0.05733396851105749,1.0,0.0,6376.54936949999
8,8,0.0,0.789825,0.8034,0.7712,0.06368166662899663,1.0,0.0,6376.17067989998
9,8,0.0,0.7826,0.8032,0.764,0.07090329144811434,1.0,0.0,6376.535202400002
10,8,0.0,0.7824,0.798,0.7648,0.07992686330326612,1.0,0.0,6376.377151199995
11,8,0.0,0.7838750000000001,0.8074,0.7666,0.04822701712196872,0.875,0.125,5793.234786299989
12,8,0.0,0.785025,0.7972,0.775,0.0483581649864879,1.0,0.0,5792.439262700005
13,8,0.0,0.791625,0.8008,0.771,0.07560199172944475,1.0,0.0,6376.640295400022
14,8,0.0,0.78625,0.8076,0.7648,0.06552235641147897,0.875,0.125,5792.807858199987
15,8,0.0,0.785525,0.8094,0.7524,0.06526802481404555,0.875,0.125,5791.872741200001
